id,first_name,last_name,position,age,prime_age,year,state,country,college_id,college,stars,height,overall,finishing,shooting2,shooting3,free_throw,ballwork,rebounding,interior_defense,perimeter_defense,overall_grade,finishing_grade,shooting2_grade,shooting3_grade,free_throw_grade,ballwork_grade,rebounding_grade,interior_defense_grade,perimeter_defense_grade,pro_potential_grade,potential_grade,draft_pick_id,draft_pick,drafted_team_id,drafted_team_abbr,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,archetype,prediction,recruiting_bias_value,stamina,playtime_expectations,minutes,previous_team_id,previous_team,personality,free_agency,recruiting_bias,work_ethic,academic_bias,player_id,defense,created_at,updated_at,deleted_at,inside_proportion,mid_range_proportion,three_point_proportion,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,standing_reach,vertical_leap,lane_agility,max_vertical_leap,three_quarter_sprint,shuttle_run,wing_span,potential,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,relative_type,notes,is_international
15,Caleb,Burton,SF,24,28,0,Louisiana,USA,101,TEX,2,6-6,60,13,18,10,16,10,12,12,11,D,B-,B+,C,B-,D,C+,C,C-,26,C,0,,0,,0,0,0,0,0,0,0,0,0,,0,,48,0,0,0,,Jokester,Average,Average,"Gym Rat",Average,15,0,"2025-12-11 23:12:30.166","2025-12-11 23:12:30.166",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,100,0,0,0,,,0,0,0,0,,0
16,Ellsworth,Houle,PG,24,29,0,Florida,USA,131,UMBC,1,6-3,67,9,7,11,12,25,9,11,18,C,C,D,D,C+,A+,D,C,B,25,C,0,,0,,0,1,0,1,1,1,0,1,0,"Floor General",0,,48,0,0,0,,Average,Average,Average,"Focuses on Max Weight","Borderline failing",16,0,"2025-12-11 23:18:12.196","2025-12-11 23:18:12.196",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,79,0,0,0,,,0,0,0,0,,0
26,Blaine,Oconner,C,24,30,0,Tennessee,USA,132,WICH,3,6-10,69,8,4,8,6,13,17,29,21,D+,C,F,C-,C-,C-,B-,A+,B,49,C+,0,,0,,0,0,0,0,0,0,1,0,0,"Stretch Bigs",0,,38,0,0,0,,Average,Average,Average,"Center of Attention",Average,26,0,"2025-12-11 23:18:21.807","2025-12-11 23:18:21.807",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,84,0,0,0,,,0,0,0,0,,0
28,Brandon,Harris,PG,24,29,0,Maryland,USA,101,TEX,3,6-4,65,18,19,17,18,14,10,4,7,D,B-,A-,B,B,B-,D,F,D,44,C,0,,0,,1,0,1,1,1,0,0,1,0,"Mid-Range Magician",0,,41,0,0,0,,Average,"Championship seeking",Average,Average,"Never Studies",28,0,"2025-12-11 23:12:24.244","2025-12-11 23:12:24.244",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,65,0,0,0,,,0,0,0,0,,0
29,Johnson,Workman,SG,24,25,0,Florida,USA,132,WICH,3,6-4,77,13,20,23,24,21,4,12,22,B-,B-,B+,A-,A+,B+,F,C,A-,49,C+,0,,0,,0,1,0,1,0,0,0,1,0,3-and-D,0,,39,0,0,0,,Popular,"I'm the starter","Prefers to play for a team with a rich history",Average,"Skips classes often",29,0,"2025-12-11 23:18:17.759","2025-12-11 23:18:17.759",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,76,0,0,0,,,0,0,0,0,,0
40,Sylvester,Wagner,SF,24,26,0,"New Jersey",USA,133,USD,2,6-5,69,11,22,11,11,13,15,22,11,D+,C-,A+,C,C+,C-,B-,B+,C+,51,B-,0,,0,,1,0,0,0,1,1,1,0,0,"Pure Defender",0,,40,0,0,0,,Cooperative,Average,Average,Average,Average,40,0,"2025-12-11 23:18:33.067","2025-12-11 23:18:33.067",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,88,0,0,0,,,0,0,0,0,,0
41,Dennis,Harris,SG,24,27,0,California,USA,133,USD,2,6-6,54,12,14,19,11,13,8,7,8,F,C,C+,B+,C+,C,C,C-,C-,62,B,0,,0,,0,0,0,0,0,0,0,0,0,,0,,37,0,0,0,,Average,Average,"Prefers to play for an up-and-coming team",Average,Average,41,0,"2025-12-11 23:18:35.991","2025-12-11 23:18:35.991",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,78,0,0,0,,,0,0,0,0,,0
42,Walter,Cooper,PF,24,28,0,DC,USA,133,USD,3,6-8,72,14,20,14,19,12,15,16,12,C+,C,A-,B,A-,C+,B-,C+,B-,54,B+,0,,0,,0,0,0,0,0,0,0,0,0,,0,,37,0,0,0,,Average,Average,"Prefers to play for a specific coach",Average,Average,42,0,"2025-12-11 23:18:31.176","2025-12-11 23:18:31.176",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,97,0,0,0,,,0,0,0,0,,0
53,Hilton,Haggard,PG,24,28,0,Georgia,USA,69,UNM,2,6-2,69,11,13,18,11,22,9,8,18,C-,C+,C,B,C+,B+,D,C-,A-,6,F,0,,0,,0,0,0,0,1,0,0,1,0,"Floor General",0,,39,0,0,0,,Average,Average,Average,Average,Average,53,0,"2025-12-11 23:06:34.648","2025-12-11 23:06:34.648",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,71,0,0,0,,,0,0,0,0,,0
65,Randall,Buchanan,PF,24,30,0,,Spain,25,CSU,3,6-6,69,9,14,14,9,19,20,7,12,C-,C,C,C+,C-,B+,B+,D,C-,50,C+,0,,0,,1,1,0,0,1,0,0,0,0,"Pure Defender",0,,36,0,0,0,,Average,Average,Average,Average,Average,65,0,"2025-12-11 22:42:19.222","2025-12-11 22:42:19.222",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,71,0,0,0,,,0,0,0,0,,0
