id,first_name,last_name,position,age,year,state,country,stars,height,shooting2,shooting3,finishing,free_throw,ballwork,rebounding,defense,interior_defense,perimeter_defense,potential,potential_grade,pro_potential_grade,stamina,playtime_expectations,minutes,overall,personality,free_agency,recruiting_bias,work_ethic,academic_bias,player_id,team_id,team_abbr,college_id,college,draft_pick_id,draft_pick,drafted_team_id,drafted_team_abbr,prime_age,is_nba,max_requested,is_super_max_qualified,is_free_agent,is_g_league,is_two_way,is_waived,is_on_trade_block,is_first_team_anba,is_dpoy,is_mvp,is_international,is_retiring,position_one,position_two,position_three,position1_minutes,position2_minutes,position3_minutes,inside_percentage,mid_percentage,three_point_percentage,created_at,updated_at,deleted_at,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,drafted_round,previous_team_id,previous_team,is_accepting_offers,is_negotiating,minimum_value,signing_round,negotiation_round,archetype,inside_proportion,mid_range_proportion,three_point_proportion,p1_minutes,p2_minutes,p3_minutes,recruiting_bias_value,has_progressed,rejections,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,notes,relative_type,is_int_generated,is_int_declared
74,Johnathan,Sullivan,PG,26,5,,Malaysia,0,6'0,14,14,16,14,18,2,12,5,12,35,D+,35,44,13,0,58,Paranoid,Average,,Average,,74,0,FA,56,MEMP,0,0,151,DEN,29,1,0,0,1,0,0,0,0,0,0,0,0,1,PG,,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-01-05 19:17:27.012","2025-08-05 16:55:23.167",NULL,0,1,0,1,0,1,1,1,5,0,0,,1,0,0.7,4,3,,0,0,0,0,0,0,,1,0,10,5,0,,,0,0,0,,0,0,0
85,Jesse,Martin,SF,26,3,California,USA,2,6-7,7,15,13,9,9,9,0,12,16,65,C+,44,48,12,0,55,Average,Average,Average,"Focuses on Max Weight","Has other priorities",85,0,FA,134,SMC,0,0,0,,25,1,0,0,1,0,0,0,0,0,0,0,1,1,SG,SF,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:22.531","2025-04-30 15:20:37.422",NULL,0,1,0,1,0,0,0,1,0,0,0,,1,0,0.7,5,4,"Two-Way Wing",0,0,0,0,0,0,,1,0,10,12,0,,,0,0,0,,0,0,0
129,Dalton,Matthew,SF,26,3,Minnesota,USA,1,6-8,9,13,13,9,16,10,0,5,14,75,C+,48,39,5,0,58,Average,Average,Average,Average,"Studies hard",129,0,FA,125,WAST,0,0,0,,30,1,0,0,1,0,0,0,0,0,0,0,1,1,,,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:26.246","2025-04-30 14:50:00.751",NULL,1,1,1,1,1,1,0,0,0,0,0,,1,0,0.7,4,3,All-Around,0,0,0,0,0,0,,1,0,9,11,0,,,0,0,0,,0,0,0
168,Stefan,Ligon,PG,26,2,Florida,USA,2,6-4,12,9,10,11,19,15,0,3,2,68,C,35,33,1,0,56,Average,Average,Average,Average,Average,168,0,FA,136,GEOT,0,0,0,,29,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,NULL,NULL,NULL,NULL,NULL,NULL,"2024-07-01 14:52:50.776","2025-04-30 15:20:59.288",NULL,1,0,1,1,1,0,0,0,0,0,0,,1,0,0.7,5,4,"Floor General",0,0,0,0,0,0,,1,0,0,0,0,,,0,0,0,,0,0,0
190,Ashley,Larose,PG,26,3,Tennessee,USA,2,6-0,17,12,11,21,13,6,0,7,7,65,B+,53,36,8,0,53,Cooperative,Average,Average,"Focuses on Max Reps",Average,190,0,FA,44,KANS,0,0,0,,29,1,0,0,1,0,0,0,0,0,0,0,1,1,,,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:40.131","2025-04-30 14:50:25.412",NULL,0,0,0,0,1,1,1,0,0,0,0,,1,0,0.7,4,3,"Floor General",0,0,0,0,0,0,,1,0,13,10,0,,,0,0,0,,0,0,0
269,Rubin,Cavazos,PG,26,3,"North Carolina",USA,3,6-1,18,20,11,17,11,11,0,6,11,65,C+,45,47,18,0,59,Average,Average,"Prefers to play for a team where he can start immediately",Average,Average,269,0,FA,139,SDST,0,0,0,,29,1,0,0,1,0,0,0,0,0,0,0,1,1,,,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:44.761","2025-04-30 14:54:47.566",NULL,0,0,0,0,0,0,0,0,0,0,0,,1,0,0.7,7,6,"Sharp Shooter",0,0,0,0,0,0,,1,0,16,14,0,,,0,0,0,,0,0,0
346,Napoleon,Conklin,PG,26,3,,Canada,2,6-4,14,18,7,16,19,4,0,5,11,65,B-,55,42,9,0,54,Uncooperative,Average,Average,Average,Average,346,0,FA,144,PORT,0,0,0,,28,1,0,0,1,0,0,0,0,0,0,0,1,1,PG,SG,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:49.097","2025-04-30 15:21:31.919",NULL,0,0,0,1,1,0,0,1,0,0,0,,1,0,0.7,4,3,"Floor General",0,0,0,0,0,0,,1,0,11,11,0,,,0,0,0,,0,0,0
360,Buddy,Anaya,SF,26,3,Illinois,USA,2,6-6,10,6,16,11,14,8,0,5,11,65,A+,85,48,6,0,55,Average,Average,"Prefers to play for a team with a rich history",Loud,"Skips classes often",360,0,FA,145,SEAU,0,0,0,,28,1,0,0,1,0,0,0,0,0,0,0,1,1,,,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:50.227","2025-04-30 14:51:02.746",NULL,0,0,0,1,0,1,1,1,0,0,0,,1,0,0.7,5,4,"Pure Defender",0,0,0,0,0,0,,1,0,10,10,0,,,0,0,0,,0,0,0
397,Tyron,Tyner,SF,26,3,"New Hampshire",USA,2,6-8,12,15,6,15,9,9,0,9,12,69,C+,44,41,5,0,48,Average,Average,Average,Average,Average,397,0,FA,141,FGCU,0,0,0,,28,1,0,0,1,0,0,0,0,0,0,0,1,1,,,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:51.356","2025-04-30 14:50:39.358",NULL,0,0,0,1,0,0,0,0,0,0,0,,1,0,0.7,5,4,,0,0,0,0,0,0,,1,0,11,1,0,,,0,0,0,,0,0,0
528,Jim,Wang,SF,26,3,,Thailand,1,6-6,8,7,14,6,11,11,0,2,11,31,A,77,39,9,0,49,Average,Average,Average,Average,Average,528,0,FA,3,BAMA,0,0,0,,30,1,0,0,1,0,0,0,0,0,0,0,1,1,SG,SF,,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-19 22:53:55.104","2025-04-30 15:21:53.994",NULL,0,1,1,1,0,1,1,0,0,0,0,,1,0,0.7,4,3,"Two-Way Wing",0,0,0,0,0,0,,1,0,14,8,0,,,0,0,0,,0,0,0
